="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="year=2014 # marmara",="-0.087",="0.333",="-0.003",="-7637.610",="0.686",="-0.001",="0.077"
="",="(0.13)",="(0.23)",="(0.01)",="(9361.43)",="(1.27)",="(0.00)",="(6.86)"
="year=2015 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2015 # dogu",="0.050",="0.158",="-0.009",="-19040.775*",="1.259",="0.001",="-15.356*"
="",="(0.13)",="(0.22)",="(0.01)",="(8888.23)",="(1.21)",="(0.00)",="(6.52)"
="year=2015 # ege",="0.010",="-0.103",="-0.008",="-7828.004",="-0.439",="-0.001",="-13.355"
="",="(0.14)",="(0.25)",="(0.01)",="(10050.17)",="(1.37)",="(0.00)",="(7.37)"
="year=2015 # guneydogu",="-0.004",="0.304",="0.001",="-13517.544",="0.778",="0.001",="-4.876"
="",="(0.15)",="(0.25)",="(0.01)",="(10300.44)",="(1.40)",="(0.00)",="(7.56)"
="year=2015 # icanadolu",="-0.068",="-0.042",="0.003",="-8673.658",="0.745",="-0.000",="-7.418"
="",="(0.13)",="(0.22)",="(0.01)",="(9056.80)",="(1.23)",="(0.00)",="(6.64)"
